X	Y
62.42	624.2
73.94	739.4
-0.67	-6.7
30.24	302.4
9.23	92.3
21.34	213.4
9.70	97
34.75	347.5
98.04	980.4
37.66	376.6
4.79	47.9
39.71	397.1
88.46	884.6
97.89	978.9
78.10	781
4.07	40.7
19.75	197.5
15.02	150.2
-0.83	-8.3
53.64	536.4
49.93	499.3
22.10	221
39.66	396.6
61.54	615.4
47.51	475.1
89.23	892.3
83.33	833.3
42.03	420.3
55.22	552.2
71.85	718.5
15.38	153.8
75.91	759.1
1.56	15.6
-2.96	-29.6
73.33	733.3
69.22	692.2
30.20	302
16.23	162.3
54.21	542.1
98.06	980.6
54.47	544.7
62.42	624.2
72.59	725.9
55.58	555.8
30.31	303.1
37.37	373.7
77.27	772.7
32.65	326.5
-0.66	-6.6
28.51	285.1
90.87	908.7
75.13	751.3
70.69	706.9
41.28	412.8
42.46	424.6
79.52	795.2
42.15	421.5
43.30	433
96.41	964.1
27.12	271.2
99.13	991.3
86.52	865.2
8.04	80.4
3.97	39.7
96.28	962.8
95.42	954.2
82.26	822.6
59.38	593.8
87.46	874.6
52.24	522.4
91.78	917.8
64.17	641.7
24.61	246.1
5.99	59.9
83.35	833.5
57.89	578.9
23.85	238.5
50.31	503.1
73.79	737.9
41.30	413
36.69	366.9
94.29	942.9
68.39	683.9
52.09	520.9
98.16	981.6
73.81	738.1
89.52	895.2
-4.21	-42.1
13.03	130.3
38.49	384.9
49.56	495.6
54.30	543
37.36	373.6
87.91	879.1
73.99	739.9
53.25	532.5
30.39	303.9
17.57	175.7
64.21	642.1
62.99	629.9
20.24	202.4
65.12	651.2
1.31	13.1
35.54	355.4
98.92	989.2
8.21	82.1
66.34	663.4
99.90	999
57.28	572.8
86.92	869.2
47.47	474.7
14.18	141.8
8.64	86.4
80.18	801.8
73.12	731.2
44.59	445.9
10.76	107.6
20.49	204.9
51.12	511.2
10.00	100
25.16	251.6
74.71	747.1
25.00	250
6.83	68.3
86.65	866.5
63.34	633.4
32.64	326.4
46.25	462.5
60.81	608.1
-3.87	-38.7
98.36	983.6
3.55	35.5
23.62	236.2
15.78	157.8
99.50	995
42.66	426.6
44.75	447.5
8.85	88.5
37.65	376.5
91.44	914.4
47.51	475.1
57.81	578.1
27.52	275.2
1.46	14.6
25.94	259.4
75.35	753.5
95.12	951.2
73.39	733.9
27.58	275.8
46.76	467.6
14.88	148.8
33.58	335.8
51.59	515.9
5.88	58.8
35.01	350.1
24.29	242.9
25.71	257.1
95.18	951.8
14.10	141
96.55	965.5
-1.92	-19.2
59.90	599
84.18	841.8
49.08	490.8
49.63	496.3
90.51	905.1
79.97	799.7
55.27	552.7
87.56	875.6
98.08	980.8
28.24	282.4
71.38	713.8
60.95	609.5
33.77	337.7
25.89	258.9
68.91	689.1
35.21	352.1
70.86	708.6
88.75	887.5
36.18	361.8
45.81	458.1
99.10	991
3.75	37.5
18.57	185.7
48.03	480.3
93.09	930.9
-3.63	-36.3
91.96	919.6
99.26	992.6
50.58	505.8
33.01	330.1
98.63	986.3
39.75	397.5
72.92	729.2
94.14	941.4
16.61	166.1
6.16	61.6
57.77	577.7
52.28	522.8
19.91	199.1
51.67	516.7
90.04	900.4
22.47	224.7
96.75	967.5
27.10	271
14.37	143.7
44.16	441.6
83.02	830.2
83.90	839
78.20	782
16.42	164.2
5.04	50.4
3.26	32.6
20.38	203.8
19.78	197.8
57.04	570.4
84.20	842
57.53	575.3
93.75	937.5
11.10	111
51.95	519.5
60.95	609.5
23.79	237.9
5.49	54.9
66.94	669.4
0.84	8.4
45.79	457.9
50.32	503.2
1.71	17.1
66.56	665.6
45.02	450.2
80.96	809.6
65.83	658.3
26.26	262.6
39.78	397.8
88.77	887.7
46.99	469.9
29.14	291.4
83.76	837.6
11.66	116.6
96.64	966.4
5.53	55.3
64.54	645.4
48.14	481.4
97.50	975
64.16	641.6
91.78	917.8
57.92	579.2
78.42	784.2
52.99	529.9
56.74	567.4
32.62	326.2
97.38	973.8
88.82	888.2
71.33	713.3
81.32	813.2
19.86	198.6
24.42	244.2
52.02	520.2
49.98	499.8
9.60	96
1.25	12.5
24.93	249.3
55.59	555.9
21.80	218
-4.57	-45.7
54.89	548.9
20.69	206.9
44.96	449.6
82.79	827.9
53.03	530.3
91.40	914
55.22	552.2
7.86	78.6
27.67	276.7
87.12	871.2
57.36	573.6
27.50	275
48.14	481.4
48.11	481.1
75.63	756.3
24.83	248.3
0.08	0.8
10.24	102.4
38.11	381.1
59.61	596.1
62.60	626
58.85	588.5
31.16	311.6
66.59	665.9
55.08	550.8
83.67	836.7
33.17	331.7
42.65	426.5
-2.29	-22.9
3.38	33.8
87.53	875.3
1.34	13.4
69.61	696.1
40.93	409.3
60.79	607.9
35.03	350.3
15.34	153.4
45.09	450.9
89.23	892.3
-3.80	-38
24.71	247.1
33.20	332
36.08	360.8
31.70	317
96.70	967
89.95	899.5
57.03	570.3
98.78	987.8
86.29	862.9
50.47	504.7
50.25	502.5
69.20	692
46.36	463.6
99.85	998.5
64.25	642.5
62.01	620.1
37.66	376.6
28.01	280.1
69.24	692.4
34.15	341.5
80.20	802
11.31	113.1
43.47	434.7
38.96	389.6
93.62	936.2
73.77	737.7
2.48	24.8
8.70	87
92.50	925
85.95	859.5
27.32	273.2
51.98	519.8
34.85	348.5
7.70	77
50.08	500.8
49.23	492.3
-4.87	-48.7
14.08	140.8
37.47	374.7
23.85	238.5
-4.09	-40.9
64.10	641
98.20	982
9.67	96.7
6.02	60.2
39.71	397.1
35.88	358.8
93.85	938.5
24.24	242.4
74.61	746.1
29.34	293.4
2.48	24.8
98.60	986
-0.16	-1.6
89.23	892.3
27.89	278.9
90.32	903.2
4.91	49.1
9.45	94.5
14.80	148
27.89	278.9
78.46	784.6
90.76	907.6
41.04	410.4
1.74	17.4
42.50	425
94.34	943.4
90.59	905.9
43.20	432
27.69	276.9
49.89	498.9
88.38	883.8
40.95	409.5
96.41	964.1
44.98	449.8
39.26	392.6
53.41	534.1
94.31	943.1
78.18	781.8
12.38	123.8
25.09	250.9
34.36	343.6
49.53	495.3
3.37	33.7
15.49	154.9
39.88	398.8
71.06	710.6
95.38	953.8
43.72	437.2
46.47	464.7
63.61	636.1
37.50	375
-2.46	-24.6
76.94	769.4
76.54	765.4
32.42	324.2
88.53	885.3
51.89	518.9
97.91	979.1
26.66	266.6
85.56	855.6
45.35	453.5
73.59	735.9
85.92	859.2
94.90	949
36.49	364.9
84.25	842.5
94.42	944.2
46.92	469.2
38.02	380.2
56.29	562.9
45.18	451.8
33.29	332.9
51.72	517.2
-4.72	-47.2
86.73	867.3
77.40	774
89.67	896.7
10.65	106.5
35.69	356.9
66.53	665.3
36.50	365
84.51	845.1
48.68	486.8
75.86	758.6
28.45	284.5
40.55	405.5
71.69	716.9
5.64	56.4
83.90	839
84.14	841.4
68.79	687.9
66.13	661.3
48.99	489.9
64.53	645.3
71.18	711.8
11.50	115
8.14	81.4
61.56	615.6
27.35	273.5
4.96	49.6
72.04	720.4
16.06	160.6
8.81	88.1
87.77	877.7
71.43	714.3
99.61	996.1
82.12	821.2
77.69	776.9
3.01	30.1
93.78	937.8
94.94	949.4
42.42	424.2
49.14	491.4
16.98	169.8
50.50	505
25.97	259.7
89.28	892.8
17.22	172.2
90.53	905.3
64.59	645.9
78.85	788.5
41.99	419.9
76.07	760.7
24.65	246.5
72.70	727
73.54	735.4
16.96	169.6
88.29	882.9
29.57	295.7
20.01	200.1
41.01	410.1
82.05	820.5
66.68	666.8
4.66	46.6
46.40	464
56.43	564.3
66.09	660.9
76.32	763.2
48.79	487.9
0.68	6.8
15.67	156.7
6.86	68.6
48.65	486.5
-2.12	-21.2
63.66	636.6
34.90	349
30.80	308
46.42	464.2
44.47	444.7
90.13	901.3
46.95	469.5
-1.18	-11.8
51.44	514.4
8.15	81.5
60.39	603.9
98.74	987.4
77.57	775.7
72.21	722.1
23.55	235.5
94.74	947.4
70.82	708.2
75.17	751.7
-2.60	-26
91.22	912.2
19.86	198.6
16.85	168.5
32.18	321.8
10.62	106.2
12.78	127.8
43.59	435.9
71.91	719.1
0.86	8.6
75.26	752.6
45.48	454.8
82.99	829.9
69.22	692.2
35.30	353
8.61	86.1
17.36	173.6
54.14	541.4
96.12	961.2
0.24	2.4
32.10	321
0.12	1.2
43.15	431.5
64.61	646.1
2.50	25
6.16	61.6
83.19	831.9
0.15	1.5
2.32	23.2
79.47	794.7
8.09	80.9
15.29	152.9
23.26	232.6
34.41	344.1
68.24	682.4
60.01	600.1
37.28	372.8
3.39	33.9
22.13	221.3
24.27	242.7
80.27	802.7
62.07	620.7
95.17	951.7
-3.63	-36.3
-4.04	-40.4
96.21	962.1
12.62	126.2
38.17	381.7
38.59	385.9
63.97	639.7
-4.32	-43.2
15.02	150.2
96.54	965.4
48.94	489.4
22.26	222.6
45.37	453.7
-3.98	-39.8
-3.15	-31.5
26.72	267.2
36.18	361.8
50.26	502.6
21.79	217.9
18.17	181.7
26.00	260
68.71	687.1
83.83	838.3
7.92	79.2
97.62	976.2
29.34	293.4
12.05	120.5
24.51	245.1
52.57	525.7
42.43	424.3
63.97	639.7
92.69	926.9
4.55	45.5
49.82	498.2
90.05	900.5
72.53	725.3
46.01	460.1
51.35	513.5
55.67	556.7
45.63	456.3
99.94	999.4
8.74	87.4
-3.41	-34.1
80.32	803.2
38.54	385.4
71.67	716.7
37.30	373
58.99	589.9
14.49	144.9
25.23	252.3
63.60	636
34.97	349.7
83.20	832
41.65	416.5
35.61	356.1
83.80	838
83.40	834
56.79	567.9
19.59	195.9
35.75	357.5
35.84	358.4
48.02	480.2
72.53	725.3
52.29	522.9
31.52	315.2
32.49	324.9
34.13	341.3
43.50	435
66.81	668.1
45.26	452.6
99.70	997
97.04	970.4
26.38	263.8
51.47	514.7
21.84	218.4
80.74	807.4
96.66	966.6
91.76	917.6
17.15	171.5
27.38	273.8
36.15	361.5
33.48	334.8
89.10	891
36.34	363.4
59.34	593.4
81.69	816.9
62.64	626.4
48.61	486.1
13.25	132.5
21.21	212.1
71.04	710.4
10.67	106.7
36.87	368.7
86.92	869.2
32.08	320.8
51.66	516.6
36.56	365.6
5.63	56.3
72.94	729.4
81.23	812.3
60.00	600
-2.78	-27.8
10.89	108.9
72.08	720.8
1.61	16.1
54.25	542.5
-1.60	-16
16.33	163.3
21.65	216.5
64.74	647.4
48.64	486.4
-3.26	-32.6
12.17	121.7
45.73	457.3
84.14	841.4
98.78	987.8
41.45	414.5
44.61	446.1
93.72	937.2
76.33	763.3
61.31	613.1
21.28	212.8
34.16	341.6
15.70	157
98.10	981
67.82	678.2
75.19	751.9
25.13	251.3
1.86	18.6
29.89	298.9
65.43	654.3
41.73	417.3
75.49	754.9
82.17	821.7
63.82	638.2
45.61	456.1
87.87	878.7
57.87	578.7
6.40	64
35.79	357.9
16.16	161.6
60.79	607.9
95.43	954.3
35.53	355.3
39.48	394.8
82.21	822.1
28.59	285.9
46.05	460.5
-3.16	-31.6
6.71	67.1
48.78	487.8
17.16	171.6
11.21	112.1
91.08	910.8
-2.42	-24.2
11.04	110.4
39.59	395.9
21.62	216.2
-3.22	-32.2
82.59	825.9
3.26	32.6
86.61	866.1
38.54	385.4
30.47	304.7
9.49	94.9
12.37	123.7
25.37	253.7
42.51	425.1
27.72	277.2
-3.41	-34.1
34.40	344
-2.51	-25.1
2.60	26
28.45	284.5
17.35	173.5
48.28	482.8
-3.30	-33
43.45	434.5
56.60	566
49.46	494.6
69.62	696.2
69.46	694.6
57.69	576.9
45.92	459.2
40.17	401.7
-1.14	-11.4
-4.65	-46.5
-4.02	-40.2
-3.25	-32.5
25.33	253.3
9.11	91.1
14.40	144
57.12	571.2
62.82	628.2
72.94	729.4
23.35	233.5
24.83	248.3
51.05	510.5
49.00	490
56.40	564
63.16	631.6
69.23	692.3
31.01	310.1
58.46	584.6
49.81	498.1
84.98	849.8
68.22	682.2
14.18	141.8
13.03	130.3
8.67	86.7
42.38	423.8
81.29	812.9
3.30	33
80.10	801
86.22	862.2
54.47	544.7
78.67	786.7
41.81	418.1
96.65	966.5
32.99	329.9
22.87	228.7
97.05	970.5
94.11	941.1
0.70	7
45.27	452.7
81.62	816.2
65.56	655.6
2.73	27.3
88.89	888.9
70.24	702.4
45.11	451.1
11.53	115.3
14.29	142.9
86.86	868.6
72.05	720.5
39.33	393.3
60.91	609.1
87.56	875.6
74.01	740.1
91.51	915.1
63.11	631.1
56.14	561.4
53.57	535.7
55.11	551.1
93.90	939
15.16	151.6
-0.86	-8.6
61.80	618
96.70	967
68.38	683.8
66.51	665.1
89.91	899.1
-4.04	-40.4
61.98	619.8
90.46	904.6
45.15	451.5
0.08	0.8
77.38	773.8
35.60	356
62.21	622.1
71.79	717.9
23.20	232
86.20	862
20.24	202.4
55.72	557.2
5.29	52.9
92.40	924
17.20	172
98.52	985.2
53.99	539.9
56.64	566.4
60.91	609.1
9.99	99.9
12.48	124.8
28.78	287.8
57.60	576
4.81	48.1
66.84	668.4
53.81	538.1
51.97	519.7
88.32	883.2
9.82	98.2
91.24	912.4
11.61	116.1
20.02	200.2
26.60	266
21.61	216.1
44.86	448.6
15.99	159.9
36.28	362.8
48.57	485.7
47.61	476.1
22.77	227.7
67.56	675.6
5.68	56.8
23.46	234.6
-2.34	-23.4
26.43	264.3
82.27	822.7
35.30	353
0.27	2.7
33.11	331.1
44.03	440.3
18.68	186.8
76.00	760
29.39	293.9
84.25	842.5
83.05	830.5
72.00	720
98.64	986.4
66.38	663.8
25.51	255.1
62.47	624.7
9.63	96.3
90.72	907.2
85.24	852.4
10.39	103.9
60.28	602.8
59.84	598.4
38.53	385.3
8.25	82.5
83.42	834.2
8.57	85.7
92.61	926.1
74.10	741
1.80	18
38.38	383.8
93.46	934.6
75.79	757.9
-1.82	-18.2
59.56	595.6
37.15	371.5
20.92	209.2
18.44	184.4
34.74	347.4
60.97	609.7
98.18	981.8
38.99	389.9
97.83	978.3
-1.90	-19
22.10	221
49.25	492.5
71.63	716.3
2.39	23.9
57.20	572
23.19	231.9
64.96	649.6
54.34	543.4
73.16	731.6
52.18	521.8
34.51	345.1
12.26	122.6
51.55	515.5
82.89	828.9
50.84	508.4
51.18	511.8
44.53	445.3
6.63	66.3
36.64	366.4
27.20	272
28.11	281.1
90.96	909.6
37.17	371.7
95.37	953.7
93.67	936.7
96.16	961.6
53.67	536.7
6.43	64.3
7.58	75.8
2.93	29.3
63.07	630.7
8.30	83
88.10	881
60.00	600
4.04	40.4
97.33	973.3
53.06	530.6
15.13	151.3
86.75	867.5
16.29	162.9
85.44	854.4
-0.93	-9.3
41.96	419.6
13.96	139.6
30.07	300.7
28.74	287.4
-4.19	-41.9
26.09	260.9
71.57	715.7
7.78	77.8
21.95	219.5
12.87	128.7
40.60	406
77.63	776.3
44.85	448.5
79.03	790.3
48.29	482.9
27.85	278.5
12.93	129.3
72.75	727.5
37.01	370.1
0.37	3.7
46.37	463.7
65.90	659
27.73	277.3
35.83	358.3
6.01	60.1
16.71	167.1
97.67	976.7
97.74	977.4
19.88	198.8
73.92	739.2
43.45	434.5
12.65	126.5
67.08	670.8
35.12	351.2
53.95	539.5
50.42	504.2
60.30	603
85.26	852.6
60.08	600.8
75.95	759.5
-1.75	-17.5
42.72	427.2
97.61	976.1
28.81	288.1
2.69	26.9
92.58	925.8
5.35	53.5
45.97	459.7
59.56	595.6
17.82	178.2
43.71	437.1
75.59	755.9
79.48	794.8
80.48	804.8
30.85	308.5
84.84	848.4
47.67	476.7
12.78	127.8
78.54	785.4
21.65	216.5
-1.66	-16.6
85.67	856.7
37.40	374
60.74	607.4
68.02	680.2
83.80	838
31.91	319.1
-3.79	-37.9
23.42	234.2
3.41	34.1
50.56	505.6
93.66	936.6
29.93	299.3
-0.20	-2
27.58	275.8
-2.24	-22.4
81.15	811.5
53.63	536.3
52.49	524.9
54.51	545.1
78.33	783.3
