x1	x2	x3		Y
37.35	75.25	98.74		3230.8
32.85	56.20	19.99		1521.925
-0.79	6.99	36.47		735.775
56.19	80.80	20.92		2140.6
2.00	38.23	61.93		1677.825
14.16	64.58	65.12		2250.5
81.07	34.21	31.53		1876.225
93.88	0.55	64.19		2070.975
21.88	41.10	51.37		1734.875
3.75	12.65	42.83		977.375
19.30	25.27	60.47		1630.875
22.32	29.11	29.80		1181.95
78.90	38.13	73.56		2648.85
77.58	87.40	38.88		2767.8
42.74	11.77	33.53		1191.325
27.35	71.20	60.62		2402.95
62.34	-3.54	32.87		1146.125
36.13	40.36	89.24		2529
-2.72	64.17	42.23		1674.975
-4.15	24.84	69.78		1552.85
35.63	49.73	90.30		2683.1
73.90	47.42	89.11		3010.325
52.41	91.03	3.28		1947.55
68.70	1.88	26.55		1180.425
36.82	53.85	17.79		1487.875
73.59	19.15	27.63		1507.275
26.83	83.97	78.18		2896.6
51.92	43.85	59.88		2225.45
10.31	0.27	26.67		574.475
90.78	59.05	15.17		2059.625
98.81	39.86	-2.19		1548.275
71.90	21.77	64.77		2179.625
65.63	70.52	78.75		3092.825
57.62	48.62	23.14		1711.05
82.89	18.37	44.48		1883.45
76.19	7.61	17.44		1181.85
63.22	20.00	30.94		1474.25
-4.03	17.78	21.91		610.425
94.70	58.30	25.81		2273.775
24.18	84.48	19.96		1858.9
13.38	-1.57	36.78		754.5
29.59	8.98	55.39		1400.525
7.68	82.63	21.01		1684.525
22.92	41.90	33.56		1445.6
52.46	69.25	28.04		2054.65
41.89	10.12	29.47		1087.025
26.55	-0.13	49.64		1132.85
40.13	75.25	39.14		2215.6
59.04	28.10	33.56		1599.8
39.93	61.72	52.95		2252.325
60.59	47.58	54.43		2272.725
13.72	0.45	2.32		185.15
70.81	50.61	95.53		3139.625
12.84	16.10	49.32		1233.6
88.51	20.63	-3.77		1129.175
61.97	72.39	9.55		1873.275
38.66	12.07	30.21		1096.925
55.15	79.32	95.85		3419.275
87.69	78.37	96.63		3744.075
35.78	39.87	43.11		1710.875
0.38	92.34	84.46		2867.55
96.65	96.05	100.00		4157.85
93.18	26.97	58.22		2355.8
30.58	40.20	42.51		1653.325
16.21	24.25	80.30		1931.7
9.91	57.42	7.21		1087.175
-2.54	12.68	47.13		990.175
69.37	93.31	70.87		3334.175
83.62	12.10	8.16		1161.1
70.06	-1.33	47.89		1519.325
34.36	71.53	14.35		1668.275
68.94	4.07	54.96		1712.85
58.25	21.03	63.89		2016.625
19.77	85.51	90.40		3062.95
61.83	94.43	37.41		2690.025
98.72	24.04	60.57		2408.375
68.45	50.59	32.33		2009.725
14.09	64.25	5.99		1210.075
34.83	29.20	12.15		999.525
29.45	74.73	22.94		1817.5
91.75	28.66	63.91		2466.425
74.25	64.25	49.79		2578.175
62.83	87.87	20.79		2310.775
42.83	30.94	61.13		1962.775
83.18	58.83	60.66		2776.4
99.55	67.99	24.67		2447.675
54.62	81.18	52.20		2678
57.88	28.25	19.83		1350.175
36.30	82.46	96.23		3284.525
80.93	82.99	28.34		2550.7
67.92	43.97	34.68		1946.25
38.94	39.15	93.22		2608.6
94.64	79.23	38.60		2810.95
71.50	66.82	44.37		2494.375
68.96	32.69	0.70		1192.8
6.35	57.01	-4.17		846.275
87.01	42.97	55.10		2479.5
33.44	7.35	12.00		655.25
61.85	75.91	53.11		2687.175
73.99	60.36	63.08		2749.8
78.81	10.49	82.85		2395.925
98.54	4.69	58.42		2078.7
63.45	43.02	86.14		2787.85
57.17	31.83	22.07		1435.975
61.10	6.64	29.15		1221.325
41.12	67.98	52.06		2342.55
57.39	3.92	56.25		1617.675
66.44	80.54	13.10		2102.35
96.71	-2.82	24.30		1350.65
91.61	35.28	49.46		2311.45
53.64	56.78	72.15		2651.325
86.80	93.02	10.61		2449.575
-3.62	7.65	97.80		1790.65
23.93	-1.85	-2.10		175.4
6.49	47.48	33.78		1368.85
14.10	18.45	92.99		2045.675
49.61	-4.16	41.24		1156
51.55	0.53	14.76		782.35
64.97	78.39	60.00		2876.15
78.99	91.60	66.24		3323.7
96.07	67.45	29.08		2481.95
21.24	65.01	94.74		2846.1
26.61	51.12	19.08		1367.4
90.40	-4.52	56.81		1830.975
65.45	17.82	86.49		2435.975
34.32	56.49	77.62		2549.5
43.96	65.56	91.99		3033.425
18.15	98.29	-2.02		1621.1
46.67	63.36	8.16		1560.5
23.55	24.77	42.41		1349.825
58.47	32.67	1.36		1099.15
5.99	38.51	51.15		1533.275
85.72	82.71	58.84		3128.15
85.60	61.45	23.81		2195.025
83.23	16.67	82.94		2534.4
69.32	46.45	16.22		1674.4
59.74	97.87	69.43		3281.075
14.43	7.92	28.20		757.2
49.56	39.01	66.27		2241.075
5.87	86.67	17.42		1664.2
21.19	66.27	14.25		1455.925
95.31	79.49	74.37		3447.525
78.11	74.37	88.13		3439.525
40.90	27.71	91.00		2417.75
44.34	66.30	95.46		3109.05
-3.28	90.41	34.41		1926.125
8.48	70.06	21.31		1509.225
11.70	47.70	42.83		1582.625
22.41	34.77	30.63		1282.275
61.91	64.01	36.37		2216.325
6.50	87.34	83.24		2832.4
72.87	77.12	90.00		3461.1
29.43	31.61	25.58		1216.7
0.76	81.09	3.62		1287.9
62.57	98.28	85.73		3600.775
53.36	88.50	2.36		1903
8.04	15.36	78.21		1680.075
2.84	35.64	21.56		940.9
61.54	40.24	39.36		1908.4
9.01	24.55	85.88		1961.85
60.82	24.07	51.32		1867.95
80.96	-2.54	38.97		1454.075
91.09	12.23	74.18		2393.1
46.08	85.78	-0.85		1733.225
-2.34	29.21	75.24		1732.05
55.01	14.98	60.91		1841.325
44.65	25.59	-3.47		770.225
75.09	43.40	74.89		2713.075
80.37	82.58	82.46		3486.05
77.95	72.48	92.43		3484.825
67.13	53.06	91.34		3066.25
78.81	33.48	80.54		2700.35
13.92	12.60	38.13		996.075
84.62	-1.89	29.72		1338.55
59.01	43.26	80.79		2653.425
76.52	77.24	89.11		3483.825
95.23	18.42	86.39		2741.025
99.86	92.89	88.27		3937.275
28.18	43.72	85.76		2439
59.80	87.92	67.66		3101.45
28.16	86.45	25.76		2029.75
68.04	15.81	43.32		1676.25
14.21	76.02	63.88		2400.9
56.24	-2.91	71.88		1777.25
36.84	69.73	0.65		1426.325
8.85	1.57	9.22		274
89.98	13.28	51.96		2008.9
34.55	2.50	95.16		2048.9
25.12	76.25	-0.83		1381.025
45.38	82.97	-1.39		1674.625
72.82	95.17	65.04		3294.55
81.83	10.90	60.85		2047.275
4.40	96.04	76.70		2827.45
59.15	86.91	88.03		3436.275
73.54	56.64	86.84		3105.3
20.58	26.50	43.71		1368.825
28.09	63.58	16.20		1518.7
1.66	27.46	96.85		2123.975
56.09	57.96	68.83		2635.425
79.62	-3.32	68.11		1938.925
60.84	4.55	66.33		1838.025
94.16	54.50	87.40		3289.2
10.56	90.02	20.59		1816.825
65.46	94.85	30.02		2603.3
24.91	34.31	34.97		1376.325
14.97	24.33	6.54		629.7
53.49	17.74	57.84		1813.8
-3.86	29.67	71.63		1660.575
45.71	86.60	95.86		3434.25
3.26	17.42	6.39		406.325
36.77	50.51	28.56		1625.75
67.25	77.71	87.29		3366.325
40.34	17.79	10.61		856.525
93.61	-3.60	70.32		2113.3
45.45	42.84	53.56		2035
75.12	21.61	96.33		2761.725
44.10	68.64	41.25		2193.075
93.11	26.11	33.13		1903.125
60.47	32.41	53.22		2022.8
51.01	91.32	66.27		3040.225
19.31	51.27	-1.73		932.475
18.26	33.24	37.37		1335.775
66.17	58.11	0.40		1540.95
25.90	68.32	24.28		1709.3
7.01	11.47	78.31		1613.175
78.50	96.30	32.25		2794.475
61.81	-2.11	26.31		1047.475
54.30	26.27	55.37		1906.625
99.02	98.41	63.20		3572.95
6.95	46.22	80.40		2170.4
14.89	33.56	45.55		1450.025
21.46	5.21	9.28		455.75
54.61	51.11	-4.54		1233.9
83.87	4.56	14.37		1159.175
19.67	89.10	37.24		2185.5
69.53	19.96	69.07		2204.025
63.88	66.56	53.94		2581.75
85.56	61.71	17.33		2085.125
1.32	65.68	57.82		2010.85
-0.67	79.61	50.21		2066.725
55.33	75.20	30.73		2219.675
27.79	11.48	47.77		1286.675
54.32	23.39	-1.26		872.6
96.56	11.42	74.77		2445.975
3.27	59.10	94.48		2573.2
2.13	26.34	7.66		551.05
25.39	49.02	78.88		2370.2
40.08	84.05	86.92		3183.25
68.11	41.90	99.47		3050.925
28.86	44.54	29.02		1465.15
5.60	43.97	8.77		869.625
5.78	46.39	14.02		999.6
72.37	-4.72	99.02		2386.35
22.33	57.44	86.88		2605.9
15.38	29.92	82.12		2040.3
99.39	12.16	63.51		2288.325
79.14	38.40	2.39		1409.825
51.27	96.57	1.01		1979.525
53.74	29.55	49.78		1852.4
76.57	63.58	28.88		2225.4
-3.68	37.25	-3.42		462.7
27.24	-1.94	44.99		1031.225
29.05	95.94	46.72		2547.8
70.01	22.96	6.54		1159.55
78.02	43.61	37.84		2097.15
98.93	79.20	63.92		3296.5
40.37	56.09	91.94		2854.6
45.65	65.22	85.63		2933.925
2.50	7.20	10.71		321.025
16.11	77.95	40.49		2039.525
63.98	40.59	42.52		1993.35
92.20	92.83	14.91		2575.975
0.87	18.87	84.97		1779.325
50.19	-4.32	78.52		1811.8
98.34	81.22	63.02		3305.15
43.74	68.73	77.61		2827.125
99.30	82.75	71.72		3489.95
41.05	94.98	30.45		2368.675
10.46	49.09	92.74		2464.5
48.92	-1.24	64.68		1603.1
29.85	22.29	96.13		2315.725
24.34	90.89	21.51		1983.775
98.12	53.94	90.18		3369.05
32.78	15.44	2.15		597.625
96.07	44.90	20.80		1998.8
76.76	41.67	18.09		1709.825
2.05	-3.48	25.44		414.1
53.26	89.48	40.83		2589.925
88.89	13.61	57.15		2093.775
95.24	68.04	45.16		2763.9
63.62	32.41	21.55		1500.075
54.08	-4.70	8.95		627.525
70.49	-2.80	98.56		2388.3
66.04	23.96	55.31		1988.325
5.33	91.59	0.27		1432.475
23.50	76.10	18.62		1702.95
-0.74	52.33	46.21		1586.825
40.32	51.81	37.56		1838.25
53.28	46.39	92.46		2847.3
79.46	45.76	72.13		2743.875
80.88	45.82	67.38		2675.85
56.44	91.29	85.08		3423.25
27.49	43.30	41.28		1647.4
33.60	50.71	16.83		1391.775
28.40	96.18	57.72		2737.4
84.18	88.19	20.11		2517.175
8.41	54.32	8.17		1042.475
13.49	29.22	10.88		764.2
95.88	99.19	43.52		3208.85
85.11	21.56	6.66		1291.65
66.94	14.85	27.64		1376.45
8.49	8.89	98.61		1944.525
72.70	-2.67	10.43		870.075
1.58	22.95	81.98		1795.3
52.48	49.16	22.87		1663.025
71.89	33.49	70.69		2458.925
58.66	69.41	14.88		1888.75
3.50	0.27	42.25		779.025
88.55	24.17	93.11		2878.075
65.14	87.07	86.25		3467.425
18.12	43.18	90.76		2417.8
55.43	43.87	24.39		1639.775
2.08	18.41	76.47		1635.775
12.35	28.32	-4.62		468.05
13.96	3.36	-1.27		168.375
92.06	11.79	41.97		1832.525
0.46	-2.85	-4.03		-108.075
35.90	67.86	12.05		1588.375
14.56	15.36	30.51		910.525
63.44	83.15	60.18		2935.4
57.63	25.55	82.86		2410.2
1.69	91.18	80.65		2796.575
35.49	22.93	48.29		1544.525
34.35	32.78	88.99		2393.125
40.76	73.20	64.14		2628.65
40.28	18.68	42.21		1422.275
75.92	0.09	0.20		764.65
67.24	47.89	1.39		1415.675
86.61	-0.07	31.31		1413.575
71.74	30.36	88.58		2723.55
57.76	85.56	13.79		2102.925
68.51	45.33	17.86		1678.2
76.68	21.95	96.19		2779.975
89.22	69.12	3.08		1983.5
89.03	51.01	81.34		3079.5
3.13	49.15	43.14		1524.1
49.94	42.50	-2.18		1099.35
60.93	65.86	19.47		1938.525
90.98	38.70	70.69		2727.975
42.67	85.60	69.56		2928.6
18.15	99.00	14.17		1915.075
26.20	99.56	27.89		2244.075
21.67	28.02	-2.10		600.85
19.40	86.73	30.59		2030.875
28.68	97.41	34.11		2345.475
94.27	34.87	59.28		2503.75
99.91	88.73	-2.90		2279.9
61.58	36.85	97.90		2882.4
8.83	57.26	29.92		1471.4
58.89	40.83	44.90		1987.7
18.59	26.41	23.59		995.475
30.47	0.98	18.45		642.875
73.69	68.27	37.13		2411.325
26.12	75.91	21.56		1777.75
22.50	14.34	23.01		843.375
89.06	56.98	56.84		2740.6
44.15	32.73	97.08		2631.95
81.30	87.92	38.11		2799.325
91.03	5.01	23.91		1404.475
44.65	0.44	10.62		639.55
82.54	25.12	19.26		1539.85
12.63	81.80	40.06		2054.95
32.38	92.28	-0.03		1708.075
91.43	52.68	53.30		2637.85
36.67	33.96	-1.75		846.075
59.88	88.29	73.59		3211.575
-3.67	72.26	79.31		2435.725
21.65	18.30	46.79		1310.425
5.82	21.76	23.72		800.3
59.68	16.75	24.91		1284.575
70.46	5.51	86.96		2309.65
23.13	-4.81	11.08		353.65
10.71	1.76	-2.13		96.825
55.41	95.44	61.46		3061.85
27.68	19.08	25.72		1013.7
89.20	88.45	96.87		3914.575
74.42	71.19	57.07		2811.375
23.81	12.14	79.81		1817.475
20.70	79.11	90.22		2973.1
70.02	71.93	96.76		3473.05
80.57	95.43	54.98		3199.9
75.64	68.60	23.32		2194.1
69.78	50.71	51.32		2357.15
41.69	20.00	81.34		2140.95
-4.37	52.92	12.69		972.775
7.16	89.86	21.65		1798.975
95.23	31.87	7.22		1557.3
11.80	69.61	45.74		1963.2
83.48	86.94	75.60		3462.5
41.87	53.25	-3.69		1153.475
4.68	8.89	62.75		1278.875
31.59	73.01	84.18		2884.8
42.03	80.15	30.42		2155.5
3.63	64.81	11.14		1204
4.30	62.47	98.65		2707.025
24.45	63.04	-2.33		1149.925
0.93	52.74	95.18		2466.65
2.05	90.77	30.72		1920.25
-3.74	91.59	67.29		2514.625
36.77	5.64	80.73		1865.675
39.31	11.60	66.55		1732.325
10.67	53.46	89.00		2466.7
26.56	62.91	46.12		2016.95
96.58	99.94	87.52		3997.1
10.63	95.98	54.10		2493.35
24.07	34.13	8.17		896.225
98.82	48.81	1.56		1748.25
41.46	50.02	68.06		2356.55
33.05	53.48	34.06		1729.35
34.49	86.40	98.15		3359.125
63.61	37.22	92.82		2819.35
70.49	42.36	87.47		2871.625
21.22	22.35	12.63		769.075
20.24	92.33	1.41		1612.625
59.63	16.09	0.30		843.5
2.00	52.56	15.08		1072.9
11.45	10.14	60.17		1320.175
35.98	0.45	95.60		2040.15
7.88	69.75	66.03		2281.175
49.23	91.38	42.94		2615.05
82.96	28.25	35.56		1876.25
27.95	45.43	25.83		1413.575
35.69	75.62	59.10		2526.05
18.58	50.30	78.94		2322.35
60.01	13.07	72.10		2058.5
83.75	93.53	60.42		3298.4
74.22	9.36	19.14		1218.15
36.27	55.83	52.15		2113.375
60.18	8.88	21.42		1110.45
89.87	68.21	80.62		3333.3
37.51	-1.29	81.63		1784.875
99.51	1.52	11.31		1216.425
3.76	74.13	93.39		2784.475
64.86	49.29	71.37		2637.525
63.24	61.11	25.47		1995.375
22.87	48.85	2.52		1006.15
-0.56	83.29	57.08		2243.25
9.12	64.30	31.79		1612.625
55.75	34.64	72.20		2341.2
23.87	55.76	66.69		2242.775
4.04	4.14	46.77		921.575
88.32	99.24	10.68		2559.3
98.05	28.11	21.65		1781.625
70.19	40.17	21.64		1683.75
59.53	13.68	91.53		2402.875
91.73	74.86	25.11		2480.225
99.85	90.69	37.09		3008.525
68.40	24.48	19.44		1392
48.03	95.49	79.84		3310.45
98.11	23.06	66.03		2483.125
57.26	48.02	58.49		2317.075
99.96	74.69	72.80		3394.55
22.35	83.00	56.13		2451.375
15.69	84.39	47.48		2254.25
32.51	69.97	47.02		2198.1
84.59	66.12	5.17		1928.775
85.29	18.25	20.30		1482.5
68.42	63.61	-1.88		1606.05
62.07	69.00	28.18		2149.45
22.23	79.89	16.14		1703.7
16.03	69.39	24.38		1628.4
88.19	-0.94	50.40		1750.4
77.06	6.33	32.46		1434.2
84.52	32.56	-2.35		1293.075
8.71	29.23	95.99		2205.975
61.03	61.48	8.60		1683.6
28.06	90.63	59.31		2678.575
59.70	1.82	89.43		2189.925
39.43	95.54	25.87		2280.725
-0.20	78.69	66.50		2342.7
95.13	86.83	52.97		3181.325
18.62	41.68	36.49		1450.575
43.97	95.25	3.37		1928.025
12.93	10.46	97.15		1986.925
47.37	39.16	30.13		1588.975
54.13	3.77	2.57		643.425
31.95	91.34	83.29		3147.775
27.95	76.26	-2.36		1382.7
21.99	-3.53	27.58		650.2
62.57	76.83	3.67		1842.975
2.23	98.02	50.01		2368.375
97.76	94.59	11.21		2593.225
43.78	64.21	44.79		2185.375
16.61	17.43	27.15		903.275
24.84	11.30	36.76		1061.8
20.63	67.20	64.10		2336.65
22.80	-4.12	64.79		1300.625
38.87	23.68	21.53		1121.275
28.89	71.76	-0.30		1360.65
28.61	39.12	71.90		2131.75
74.57	30.25	46.35		2011.175
14.38	79.46	67.53		2518.075
36.07	7.57	28.08		966.25
19.92	1.89	87.51		1759.575
98.55	78.69	83.56		3628.75
75.41	24.61	1.40		1148.35
46.42	86.32	19.77		2105.575
70.29	49.91	9.65		1621.025
51.41	52.80	72.04		2567.4
36.53	91.79	-1.67		1713.525
88.92	10.43	28.68		1548.15
-4.88	41.13	2.90		619.5
40.08	23.55	7.15		879.775
51.45	2.37	36.40		1187.65
33.58	60.99	-2.32		1210.65
39.89	87.80	2.54		1760.95
-1.12	72.59	39.27		1765.475
89.55	64.71	28.35		2362.875
70.52	22.44	31.45		1592.775
46.46	60.60	91.02		2967.05
41.84	98.03	46.86		2709.5
30.57	90.44	55.70		2637.65
91.16	86.46	83.48		3670
26.35	62.58	58.51		2226.725
73.98	5.14	28.23		1311.525
57.14	18.63	97.30		2554.2
11.08	48.33	53.14		1766.3
30.91	83.76	20.39		1922.925
26.52	83.25	13.98		1759.2
57.37	58.17	92.35		3062.975
87.68	53.58	90.18		3259.25
44.24	84.97	36.90		2363.3
6.63	11.96	87.69		1780.875
47.67	57.82	11.18		1540.25
2.26	99.74	91.69		3123.875
7.69	2.37	0.01		113.225
63.22	46.15	30.72		1862.65
35.42	83.62	5.96		1713.4
34.64	68.05	85.44		2862.95
6.09	45.65	95.99		2426.075
82.95	38.82	8.76		1565.7
41.70	19.23	58.43		1728.575
0.26	-1.13	10.97		178.225
16.71	37.19	39.24		1412.25
57.63	94.10	55.74		2963.85
70.74	42.51	93.83		2987.675
36.70	6.41	96.12		2145.85
23.43	95.11	28.89		2167.125
81.12	0.05	97.86		2525.1
84.57	95.31	20.14		2628.4
11.63	-2.29	46.65		898.925
95.88	19.88	77.18		2608.25
61.03	27.02	16.70		1308.45
48.60	70.75	7.16		1673.15
17.28	35.98	70.87		1953.325
24.04	9.48	55.87		1360.925
76.91	-0.83	5.82		859.1
6.47	73.58	46.98		1991.15
18.61	63.79	70.91		2384.475
74.14	8.41	25.06		1306.7
81.16	40.78	-0.85		1409.025
36.95	68.05	15.14		1655.8
99.90	24.33	62.65		2460.925
21.64	7.23	60.67		1387.175
36.19	81.27	68.35		2777.675
2.21	37.07	24.65		1010.125
68.79	0.66	82.50		2142.15
56.32	5.96	40.27		1357.925
11.45	88.44	2.12		1478.8
47.74	76.79	95.11		3294.275
91.01	-2.88	50.73		1755.275
90.84	-4.84	53.49		1772.475
88.23	0.87	86.24		2405.15
53.50	39.79	6.33		1243.225
86.53	26.77	62.54		2361.9
66.16	41.98	45.85		2094.275
25.33	81.72	42.21		2218.375
37.80	29.85	51.17		1721.825
35.26	5.16	83.92		1899.2
85.79	39.24	98.01		3162.275
84.86	57.14	10.63		1892.325
63.26	70.98	46.95		2519.525
53.22	62.90	-1.30		1453.55
85.96	61.62	81.18		3205.15
72.60	84.75	79.12		3382.45
90.50	20.57	79.96		2613.45
29.53	12.37	35.16		1096.75
87.45	-1.11	99.03		2591.475
36.35	89.44	98.15		3423.325
8.56	27.98	38.46		1178.95
45.50	34.83	65.78		2129.2
-4.48	19.74	75.64		1575.6
3.63	4.54	27.71		589.925
81.56	71.19	81.58		3311.7
68.03	55.68	17.94		1830.05
56.66	4.43	66.37		1795.125
23.81	-1.55	98.45		1938.325
37.24	42.19	6.17		1113.825
31.42	91.81	16.69		1984.025
8.80	16.90	19.30		679.85
68.41	99.38	0.59		2185.725
93.50	91.65	5.11		2399.775
5.21	20.27	92.69		1978.825
16.48	96.27	33.30		2192.2
78.99	94.56	85.84		3711.1
27.82	12.55	5.67		566.275
67.87	19.20	95.18		2632.95
84.60	18.33	88.43		2669.075
28.18	32.92	54.79		1735.025
20.81	45.95	94.74		2555.9
66.97	13.50	61.59		1950.625
88.25	79.88	68.23		3275.325
29.89	40.59	43.67		1672.575
99.93	21.38	3.07		1374.325
62.45	38.20	97.36		2901.9
52.73	11.99	55.77		1683.725
-1.04	25.88	31.40		927.9
20.91	21.63	19.46		874.7
25.71	89.28	74.44		2899.6
83.94	-4.97	65.26		1907.5
28.79	6.41	53.27		1316.875
47.66	71.75	63.75		2669.075
78.56	47.79	33.33		2086.325
76.59	4.10	14.55		1082.625
20.86	85.00	83.08		2938.1
85.70	54.93	32.00		2241.55
99.18	0.17	84.31		2470.375
69.85	-1.58	60.70		1737.65
87.38	94.72	27.44		2775.4
39.18	25.45	25.61		1222.325
70.43	75.77	47.02		2664.3
68.65	10.27	13.07		1069.875
11.44	11.38	56.85		1280.575
79.84	77.98	29.74		2489.15
77.14	39.70	25.83		1819.525
65.58	93.78	66.44		3225.8
10.10	1.44	13.95		367.325
62.19	78.23	40.56		2505.75
73.65	76.69	86.72		3405.05
93.48	2.39	73.17		2251.725
24.61	23.85	17.59		912.275
14.33	59.90	90.56		2627.2
4.04	20.79	72.96		1629.65
34.16	85.18	82.34		3060.85
-0.47	78.40	52.40		2088.9
36.40	90.06	28.93		2221.775
47.66	79.20	72.43		2932.725
20.38	61.21	23.60		1535.55
13.85	11.54	41.03		1030.225
0.42	7.37	62.89		1215.925
86.91	9.91	29.34		1531.8
47.68	63.95	37.45		2092.025
89.76	37.23	57.63		2465.175
5.34	56.16	69.74		2116.85
7.26	82.60	33.27		1894.425
44.99	48.65	71.09		2424.325
44.12	92.88	79.89		3233.075
37.70	-3.62	9.59		491.125
96.06	93.70	0.42		2374.05
13.99	15.72	64.62		1507.15
16.99	89.22	3.37		1567.775
-4.46	75.47	5.73		1188.325
46.14	17.52	4.20		798.3
91.05	83.78	19.16		2503.1
37.33	9.72	3.98		589.35
91.39	-0.25	99.54		2652.7
83.55	27.43	16.45		1535.425
85.32	82.09	55.38		3054.3
33.06	66.39	13.15		1557.175
23.64	81.62	34.94		2072.75
79.25	35.44	95.72		2999.8
-3.35	20.21	98.74		1998.2
11.63	92.05	-1.77		1466.675
16.11	-3.75	31.19		651.275
25.86	21.15	24.14		998.9
66.44	44.52	-2.66		1286.25
82.30	70.33	1.80		1910.05
88.84	38.73	26.49		1933.525
62.03	40.82	13.06		1461.75
91.36	5.81	7.96		1140.65
40.33	6.98	63.34		1617.05
13.09	87.36	58.93		2473.175
41.49	69.19	1.56		1480.65
26.88	5.59	93.85		1995.625
34.13	12.19	11.87		732.475
92.46	14.26	29.66		1658.15
